NOME_SOCIAL,CNPJ_CPF,SITUACAO,DT_REGISTRO,UF,MUNICIPIO,CATEG_REG,SUBCATEG,EMAIL,SITE,TELEFONE,LOGRADOURO,COMPL,CEP,PATRIM_LIQ,DT_PATRIM,CONTROLE,IS_MFO,SCORE_MA,N_SOCIOS
GUARÁ MULTI FAMILY OFFICE GESTORA DE RECURSOS LTDA,45.660.027/0001-49,EM FUNCIONAMENTO NORMAL,2022-09-09,RS,SÃO LOURENÇO DO SUL,Gestor de Carteira,,frederico@guaramfo.com.br,www.guaramfo.com.br,99619450,"RUA SENADOR PINHEIRO MACHADO, 489/SALA 5",,96170000,,,PRIVADO,True,6.0,3
JC WEALTH GESTÃO INTEGRAL DE PATRIMÔNIO LTDA.,32.877.398/0001-35,EM FUNCIONAMENTO NORMAL,2024-02-26,SP,SÃO PAULO,Gestor de Carteira,,compliance@journeycapital.com.br,www.journeycapital.com.br,45616006,"RUA OLIMPIADAS, 66",cj 51 (5º andar),4551000,,,PRIVADO,True,6.0,12
Portofino Internacional Gestão de Recursos Ltda.,62.653.145/0001-49,EM FUNCIONAMENTO NORMAL,2025-12-09,SP,SÃO PAULO,Gestor de Carteira,,compliance@pmfo.com.br,www.portofinomultifamilyoffice.com.br,25924484,Rua Leopoldo Couto Magalhães Júnior,"11º andar, Conjuntos 111 e 112",4542000,,,PRIVADO,True,6.0,5
QLZ WM GESTÃO DE PATRIMÔNIOS LTDA.,54.558.360/0001-32,EM FUNCIONAMENTO NORMAL,2024-10-30,SP,SÃO PAULO,Gestor de Carteira,,affonsoneto@qlzwm.com.br,www.qlzwm.com.br,981411911,"RUA TABAPUÃ, 500/CJ 113 E 114",,4533011,,,PRIVADO,True,6.0,5
VOS GESTÃO DE PATRIMÔNIO LTDA.,58.450.445/0001-53,EM FUNCIONAMENTO NORMAL,2025-04-23,SP,SÃO PAULO,Gestor de Carteira,,contato@vosinvestimentos.com.br,www.vosinvestimentos.com.br,971453726,"RUA DIOGO MOREIRA, 169, S/N",,5423010,,,PRIVADO,True,6.0,16
TF8 WEALTH MANAGEMENT LTDA,54.577.402/0001-82,EM FUNCIONAMENTO NORMAL,2024-09-06,SP,SÃO PAULO,Gestor de Carteira,,equipewealth@tf8.com.br,www.tf8.com.br,30311698,"RUA GOMES DE CARVALHO, 1329/CJ 42",,4547005,,,PRIVADO,True,6.0,4
RIZA WEALTH MANAGEMENT GESTORA DE RECURSOS LTDA.,57.816.195/0001-60,EM FUNCIONAMENTO NORMAL,2025-05-08,SP,SÃO PAULO,Gestor de Carteira,,operacional@rizaaasset.com,www.rizaasset.com,44204842,"RUA ELVIRA FERRAZ, 68/5º ANDAR",,4552040,,,PRIVADO,True,6.0,3
PRISMA PRIVATE EQUITY LTDA.,53.184.854/0001-31,EM FUNCIONAMENTO NORMAL,2024-08-29,SP,SÃO PAULO,Gestor de Carteira,,compliance@prismacapital.com,www.prismacapital.com,48583744,"AV. BRIG. FARIA LIMA, 2601/11º ANDAR (PARTE)",,1452000,,,PRIVADO,True,6.0,2
Real Wealth Multi Family Office Ltda.,63.490.963/0001-30,EM FUNCIONAMENTO NORMAL,2026-02-27,SP,SÃO PAULO,Gestor de Carteira,,diego.rodriguez@realinvestor.com.br,www.realwealth.com.br,20505199,Rua Iguatemi,"15º andar, Salas 151 e 152, Ed. Offices Building",1451010,,,PRIVADO,True,5.5,22
IBBRA GESTÃO DE RECURSOS LTDA.,34.444.602/0001-50,EM FUNCIONAMENTO NORMAL,2022-02-09,GO,GOIÂNIA,Gestor de Carteira,,pedro.romanowski@ibbra.com.br,www.ibbra.com.br,993374732,"Rua 1135, 318",Sala 01,74180140,,,PRIVADO,True,5.5,1
TAUS MFO LTDA.,48.909.072/0001-82,EM FUNCIONAMENTO NORMAL,2023-06-30,SE,ARACAJU,Gestor de Carteira,,financeiro@tausmfo.com,www.tausmfo.com,31420334,"AV. MARIO JORGE MENEZES VIEIRA, 2375",SALA 403,49035100,,,PRIVADO,True,5.5,3
HIGH WEALTH MANAGEMENT LTDA,45.342.451/0001-45,EM FUNCIONAMENTO NORMAL,2024-01-25,GO,GOIÂNIA,Gestor de Carteira,,compliance@highpar.com.br,www.highagro.com.br,34147847,"AV. DEP. JAMEL CECÍLIO, 2.690/SALA 1413",,74810100,,,PRIVADO,True,4.5,1
